Name,Team,Level,GP,G,A,P
LucaMParenti,OaklandBears,10B,25,8,7,15,0
CarsonVChan,OaklandBears,10B,25,27,8,35,0
KonstantinRezvoi,OaklandBears,10B,26,7,7,14,0
LaurelAHarrison,OaklandBears,10B,25,9,12,21,0
NoahASmith,OaklandBears,10B,27,14,11,25,0
MyaRTaylor,OaklandBears,10B,25,17,10,27,0
BrodyAKoziel,OaklandBears,10B,22,2,3,5,1
TrevorPLuhning,OaklandBears,10B,19,0,1,1,0
KieranJWladyka,OaklandBears,10B,26,7,7,14,1
RichardTTreadwell,SanFranciscoSabercats,10A,26,7,10,17,0
OwenALynn,OaklandBears,10B,23,4,9,13,0
CaleNakasone,SanJoseJrSharks,10B-1,27,23,22,45,0
ZacharyPLevesque,SanMateoBlackStars,10BB,27,7,7,14,0
CooperJHohenstein,SanMateoBlackStars,10B,22,3,6,9,0
TrevorStephenson,SantaClaraBlackhawks,10B,24,12,10,22,0
JailynLPaquin-Askew,SanFranciscoSabercats,10B,17,0,0,0,0
LoganBMoudy,TriValleyBlueDevils,10BB,12,8,5,13,0
MattiasKWard,SanMateoBlackStars,10BB,23,15,17,32,0
EdwardWMorton,SanMateoBlackStars,10B,19,2,5,7,0
BrodyFPhillips,TriValleyBlueDevils,10A-1,22,11,9,20,0
NathanielEidt,OaklandBears,10B,25,17,17,34,0
HaydenCBrunke,VacavilleJets,10B,19,3,4,7,0
GeorgeGMadec,FresnoJrMonsters,10BB,18,3,3,6,0
GradyGAddleman,SantaRosaFlyers,10BB,7,0,1,1,5
SandrineCharlebois,TriValleyLadyBlueDevils,10B,3,0,0,0,0
JesseWUlate,SanMateoBlackStars,10B,16,11,5,16,0
HaydenMNelson,StocktonColts,10A,13,0,0,0,0
ChloeAPowell,SantaClaraBlackhawks,10B,16,0,2,2,0
SunghyunJung,OaklandBears,10B,13,3,2,5,0
WhitneyMcnaughton,SanFranciscoSabercats,10B,8,0,0,0,0
BryceCNye-Morrell,LakeTahoeGrizzlies,10B,1,0,0,0,0
